iteration,model_name,accuracy,precision,recall,f1_score,auc_roc,n_support_vectors
7,SVM_Poly,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.5673076923076923,284
7,Nu_SVM,0.618421052631579,0.5763589301121657,0.618421052631579,0.5895883343484648,0.5765224358974359,233
8,SVM_Linear,0.631578947368421,0.541795665634675,0.631578947368421,0.5640350877192982,0.4206730769230769,160
8,SVM_RBF,0.6052631578947368,0.5192982456140351,0.6052631578947368,0.547410400377814,0.4607371794871795,276
8,SVM_Poly,0.6710526315789473,0.4652631578947368,0.6710526315789473,0.5495234148363034,0.46394230769230776,280
8,Nu_SVM,0.631578947368421,0.5120300751879698,0.631578947368421,0.5482312338222606,0.46875,271
9,SVM_Linear,0.618421052631579,0.529719821942917,0.618421052631579,0.5557476579148406,0.4551282051282051,173
9,SVM_RBF,0.5526315789473685,0.5184513006654567,0.5526315789473685,0.5328776486671224,0.46554487179487175,260
9,SVM_Poly,0.6710526315789473,0.4652631578947368,0.6710526315789473,0.5495234148363034,0.5240384615384616,290
9,Nu_SVM,0.5921052631578947,0.5290148448043185,0.5921052631578947,0.5509802708887378,0.4439102564102564,254
10,SVM_Linear,0.6842105263157895,0.6451355661881978,0.6842105263157895,0.6379283203022512,0.5240384615384616,169
10,SVM_RBF,0.5526315789473685,0.5310150375939849,0.5526315789473685,0.5405812511075669,0.3870192307692308,277
10,SVM_Poly,0.6447368421052632,0.4592645998558039,0.6447368421052632,0.5364210526315789,0.39903846153846156,272
10,Nu_SVM,0.6578947368421053,0.5913312693498451,0.6578947368421053,0.5951754385964912,0.37900641025641024,271
11,SVM_Linear,0.618421052631579,0.5641668273247221,0.618421052631579,0.5799492856701094,0.5480769230769231,172
11,SVM_RBF,0.5,0.47500000000000003,0.5,0.48653198653198654,0.4014423076923077,273
11,SVM_Poly,0.6578947368421053,0.46230440967283076,0.6578947368421053,0.5430242272347535,0.5056089743589743,280
11,Nu_SVM,0.5394736842105263,0.4587108797635113,0.5394736842105263,0.49304224132599417,0.4078525641025641,268
12,SVM_Linear,0.618421052631579,0.529719821942917,0.618421052631579,0.5557476579148406,0.5689102564102564,165
12,SVM_RBF,0.5,0.5107692307692308,0.5,0.5050980392156862,0.4863782051282051,264
12,SVM_Poly,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.6169871794871795,286
12,Nu_SVM,0.5789473684210527,0.5477918935269207,0.5789473684210527,0.5603554340396446,0.47035256410256415,254
13,SVM_Linear,0.6578947368421053,0.6031897926634769,0.6578947368421053,0.6077556803274388,0.5392628205128206,177
13,SVM_RBF,0.631578947368421,0.5756578947368421,0.631578947368421,0.5892316999395039,0.5120192307692308,253
13,SVM_Poly,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.5849358974358975,290
13,Nu_SVM,0.631578947368421,0.5756578947368421,0.631578947368421,0.5892316999395039,0.5,245
14,SVM_Linear,0.6447368421052632,0.5993188098451256,0.6447368421052632,0.6089183004514812,0.561698717948718,173
