iteration,model_name,accuracy,precision,recall,f1_score,auc_roc
13,Multinomial NB,0.5789473684210527,0.5695546558704454,0.5789473684210527,0.5726817042606516,0.5471014492753623
13,Bernoulli NB,0.5526315789473685,0.5632463511720477,0.5526315789473685,0.5564443779904306,0.5304347826086956
14,Gaussian NB,0.5131578947368421,0.5324980851296641,0.5131578947368421,0.5185435053833003,0.5192028985507247
14,Multinomial NB,0.5263157894736842,0.5149797570850202,0.5263157894736842,0.519266917293233,0.5043478260869565
14,Bernoulli NB,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5507246376811594
15,Gaussian NB,0.5526315789473685,0.574792243767313,0.5526315789473685,0.5576441102756892,0.5510869565217391
15,Multinomial NB,0.618421052631579,0.6162682936247442,0.618421052631579,0.6172388324556608,0.6072463768115942
15,Bernoulli NB,0.5394736842105263,0.542142991888323,0.5394736842105263,0.5407181257051835,0.5449275362318841
16,Gaussian NB,0.5,0.4876923076923077,0.5,0.49255952380952384,0.4782608695652174
16,Multinomial NB,0.631578947368421,0.6413091552410438,0.631578947368421,0.634718899521531,0.592753623188406
16,Bernoulli NB,0.5921052631578947,0.6050797726022373,0.5921052631578947,0.5960724091395598,0.6268115942028986
17,Gaussian NB,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.3894927536231884
17,Multinomial NB,0.631578947368421,0.6241295546558705,0.631578947368421,0.6260964912280702,0.6297101449275362
17,Bernoulli NB,0.618421052631579,0.6087719298245614,0.618421052631579,0.6109110639767178,0.5681159420289855
18,Gaussian NB,0.5394736842105263,0.5313879937940088,0.5394736842105263,0.5346260387811634,0.5960144927536232
18,Multinomial NB,0.6052631578947368,0.5931174089068826,0.6052631578947368,0.5954171142141067,0.6427536231884058
18,Bernoulli NB,0.5789473684210527,0.5650303643724697,0.5789473684210527,0.5684449218283805,0.6210144927536232
19,Gaussian NB,0.5394736842105263,0.542142991888323,0.5394736842105263,0.5407181257051835,0.5028985507246377
