iteration,model_name,accuracy,precision,recall,f1_score,auc_roc
14,LR_ElasticNet,0.5921052631578947,0.5440897325280414,0.5921052631578947,0.5612840815449107,0.5152243589743589
15,LR_L2,0.6710526315789473,0.6113108859104281,0.6710526315789473,0.6039652583872371,0.5993589743589745
15,LR_L1,0.7105263157894737,0.6866776315789473,0.7105263157894737,0.677253478523896,0.5128205128205129
15,LR_ElasticNet,0.7105263157894737,0.6904024767801857,0.7105263157894737,0.6574561403508772,0.5344551282051282
16,LR_L2,0.6973684210526315,0.6663397624496024,0.6973684210526315,0.6356480377162581,0.6658653846153847
16,LR_L1,0.6578947368421053,0.6126644736842105,0.6578947368421053,0.6185722928009679,0.5384615384615384
16,LR_ElasticNet,0.6842105263157895,0.6408668730650156,0.6842105263157895,0.6263157894736843,0.6402243589743589
17,LR_L2,0.631578947368421,0.561244019138756,0.631578947368421,0.5775830403526263,0.4326923076923077
17,LR_L1,0.6052631578947368,0.5771324863883848,0.6052631578947368,0.5878332194121668,0.43990384615384615
17,LR_ElasticNet,0.5921052631578947,0.5678670360110804,0.5921052631578947,0.5777458367489023,0.4318910256410256
18,LR_L2,0.6710526315789473,0.5985174203113417,0.6710526315789473,0.5887005149543328,0.5344551282051282
18,LR_L1,0.5394736842105263,0.4587108797635113,0.5394736842105263,0.49304224132599417,0.49439102564102566
18,LR_ElasticNet,0.631578947368421,0.5756578947368421,0.631578947368421,0.5892316999395039,0.5128205128205128
19,LR_L2,0.6052631578947368,0.5386513157894737,0.6052631578947368,0.55989110707804,0.5144230769230769
19,LR_L1,0.5789473684210527,0.5590225563909774,0.5789473684210527,0.5676058833953571,0.484775641025641
