iteration,model_name,accuracy,precision,recall,f1_score,auc_roc,k_neighbors,distance_metric,prediction_confidence
3,KNN_k5_weighted,0.5789473684210527,0.5695546558704454,0.5789473684210527,0.5726817042606516,0.6054347826086957,5,euclidean,0.7027603234526322
3,KNN_adaptive,0.6052631578947368,0.5864661654135338,0.6052631578947368,0.585139318885449,0.5536231884057972,11,euclidean,0.6508436805077097
3,KNN_cosine,0.5131578947368421,0.5044158014082826,0.5131578947368421,0.5080332409972299,0.47862318840579704,5,cosine,0.760531097659187
4,KNN_k5_euclidean,0.5657894736842105,0.5433356117566643,0.5657894736842105,0.5468227937344818,0.592391304347826,5,euclidean,0.7289473684210526
4,KNN_k5_manhattan,0.5921052631578947,0.5853323785654613,0.5921052631578947,0.5878116343490305,0.5978260869565218,5,manhattan,0.7052631578947368
4,KNN_k5_weighted,0.5657894736842105,0.5433356117566643,0.5657894736842105,0.5468227937344818,0.6119565217391304,5,euclidean,0.7291598046779668
4,KNN_adaptive,0.5789473684210527,0.540140674266311,0.5789473684210527,0.5335814283182705,0.5938405797101449,11,euclidean,0.6822269268031461
4,KNN_cosine,0.5394736842105263,0.498373301149184,0.5394736842105263,0.5042926465098917,0.5978260869565217,5,cosine,0.7290707606092633
5,KNN_k5_euclidean,0.5263157894736842,0.4642250788260975,0.5263157894736842,0.4752791068580542,0.5072463768115942,5,euclidean,0.7184210526315787
5,KNN_k5_manhattan,0.5657894736842105,0.5632891840753755,0.5657894736842105,0.5644441886564415,0.5438405797101449,5,manhattan,0.6894736842105262
5,KNN_k5_weighted,0.5263157894736842,0.4642250788260975,0.5263157894736842,0.4752791068580542,0.5083333333333333,5,euclidean,0.7189881606264032
5,KNN_adaptive,0.6578947368421053,0.6876934984520124,0.6578947368421053,0.5918744228993537,0.49565217391304345,11,euclidean,0.6737098335574835
5,KNN_cosine,0.6052631578947368,0.5896686159844053,0.6052631578947368,0.5906882591093117,0.5815217391304348,5,cosine,0.7661707030222132
6,KNN_k5_euclidean,0.5921052631578947,0.5653303248150285,0.5921052631578947,0.56094491548019,0.5536231884057972,5,euclidean,0.7105263157894736
6,KNN_k5_manhattan,0.5657894736842105,0.5534571723426213,0.5657894736842105,0.5572436245252306,0.5485507246376812,5,manhattan,0.7157894736842104
6,KNN_k5_weighted,0.5921052631578947,0.5653303248150285,0.5921052631578947,0.56094491548019,0.5528985507246377,5,euclidean,0.7106624877143831
6,KNN_adaptive,0.6447368421052632,0.6516103692065985,0.6447368421052632,0.5821002472143599,0.6391304347826087,11,euclidean,0.673920553203398
6,KNN_cosine,0.5921052631578947,0.5692520775623268,0.5921052631578947,0.5681019469617178,0.6083333333333334,5,cosine,0.8004654781261036
7,KNN_k5_euclidean,0.5657894736842105,0.5066985645933014,0.5657894736842105,0.5023418797488116,0.4789855072463768,5,euclidean,0.8131578947368421
7,KNN_k5_manhattan,0.5657894736842105,0.5433356117566643,0.5657894736842105,0.5468227937344818,0.5144927536231884,5,manhattan,0.7210526315789473
7,KNN_k5_weighted,0.5657894736842105,0.5066985645933014,0.5657894736842105,0.5023418797488116,0.4804347826086957,5,euclidean,0.8137152624788001
7,KNN_adaptive,0.5394736842105263,0.46150165623849837,0.5394736842105263,0.47218078155177,0.5554347826086956,11,euclidean,0.7611983732397314
7,KNN_cosine,0.5657894736842105,0.5433356117566643,0.5657894736842105,0.5468227937344818,0.6079710144927536,5,cosine,0.7681726014259287
8,KNN_k5_euclidean,0.618421052631579,0.6056517421527567,0.618421052631579,0.6067126077056564,0.5985507246376811,5,euclidean,0.7447368421052631
8,KNN_k5_manhattan,0.5526315789473685,0.5632463511720477,0.5526315789473685,0.5564443779904306,0.5750000000000001,5,manhattan,0.7236842105263157
8,KNN_k5_weighted,0.618421052631579,0.6056517421527567,0.618421052631579,0.6067126077056564,0.5956521739130435,5,euclidean,0.7452671398620105
