iteration,model_name,accuracy,precision,recall,f1_score,auc_roc,n_components_used
11,LDA_No_Shrinkage,0.5131578947368421,0.5665138455895837,0.5131578947368421,0.5297497434126597,0.49839743589743585,
11,QDA,0.3815789473684211,0.4972136222910217,0.3815789473684211,0.3844702665755298,0.46073717948717946,1.0
11,QDA_Regularized,0.32894736842105265,0.7852631578947369,0.32894736842105265,0.178929312990882,0.37540064102564097,1.0
12,LDA,0.631578947368421,0.561244019138756,0.631578947368421,0.5775830403526263,0.5520833333333334,
12,LDA_No_Shrinkage,0.4473684210526316,0.56296992481203,0.4473684210526316,0.4565789473684211,0.4951923076923077,
12,QDA,0.4342105263157895,0.5772635033029662,0.4342105263157895,0.431369332421964,0.46955128205128205,1.0
12,QDA_Regularized,0.3157894736842105,0.09972299168975068,0.3157894736842105,0.15157894736842104,0.37099358974358976,1.0
13,LDA,0.618421052631579,0.5492822966507177,0.618421052631579,0.5687552213868003,0.4575320512820512,
13,LDA_No_Shrinkage,0.5921052631578947,0.6147430204270765,0.5921052631578947,0.6010452087909883,0.5560897435897436,
13,QDA,0.4473684210526316,0.6028708133971292,0.4473684210526316,0.4416238100448627,0.421875,1.0
13,QDA_Regularized,0.3026315789473684,0.323239605863975,0.3026315789473684,0.168125092487545,0.37259615384615385,1.0
